embed_dim,true_k,dataset_id,n,p,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
322,4,10,500,322,20,10,6,spectral,11.518347500008531,1.9197245833347552,1.5364087079651654
322,5,10,500,322,20,10,6,spectral,12.380629625055008,2.0634382708425014,1.6290007079951465
322,6,10,500,322,20,10,6,spectral,12.55580345808994,2.092633909681657,2.1654102499596775
322,3,11,500,322,20,10,6,spectral,12.306340166949667,2.0510566944916113,1.5743278749287128
322,4,11,500,322,20,10,6,spectral,11.986423625028692,1.9977372708381154,1.5863091249484569
322,5,11,500,322,20,10,6,spectral,13.111842500045896,2.1853070833409824,1.6964380000717938
322,6,11,500,322,20,10,6,spectral,13.36875979101751,2.228126631836252,1.7377636659657583
322,3,12,500,322,20,10,6,spectral,12.542664624983445,2.0904441041639075,1.4520112089812756
322,4,12,500,322,20,10,6,spectral,12.100525540998206,2.016754256833034,1.560398916946724
322,5,12,500,322,20,10,6,spectral,12.579847874934785,2.096641312489131,1.735132792033255
322,6,12,500,322,20,10,6,spectral,12.619164083967917,2.1031940139946528,1.7166960410540923
322,3,13,500,322,20,10,6,spectral,12.40483341703657,2.0674722361727618,1.6382494170684367
322,4,13,500,322,20,10,6,spectral,12.690325333038345,2.1150542221730575,1.6540831249440089
322,5,13,500,322,20,10,6,spectral,13.116992082912475,2.186165347152079,1.7337853329954669
322,6,13,500,322,20,10,6,spectral,13.210777958971448,2.2017963264952414,1.68730233295355
322,3,14,500,322,20,10,6,spectral,11.664283208083361,1.944047201347227,1.5913553750142455
322,4,14,500,322,20,10,6,spectral,11.767897416953929,1.9613162361589882,1.5413737499620765
322,5,14,500,322,20,10,6,spectral,11.943794875056483,1.9906324791760805,1.613967083976604
322,6,14,500,322,20,10,6,spectral,12.482493291958235,2.080415548659706,1.723797749960795
